Data;Preco_Fechamento;Volume;SMA_7;SMA_21;RSI;Volatilidade
2025-06-09;105692,25;16044679696;104795,18999999999;106550,32142857139;53,95880186742034;1484,4992694967493
2025-06-10;110261,57;38222993297;105420,45142857142;106770,9;63,87655044602146;2555,3850528607595
2025-06-11;110212,73;36303839182;106103,05857142857;106934,0433333333;63,71855623687116;3132,7311336730395
2025-06-12;108679,98;30338936631;106655,4957142857;106887,09666666665;58,80292811588073;3207,3817222461685
2025-06-13;105979,23;35865159511;107273,85142857143;106621,32857142857;51,29400818568679;2396,4207374091657
2025-06-14;106045,56;49471015505;107507,53857142857;106565,56142857141;51,45795646846313;2136,20961749655
2025-06-15;105482,91;17916412455;107479,17571428572;106453,73047619047;49,92285562830947;2165,6115148380213
2025-06-16;105554,49;16568441852;107459,49571428572;106296,23904761903;50,12669617111113;2185,0949587601503
2025-06-17;106951,27;32095957011;106986,59571428572;106180,6938095238;54,05671018453634;1802,2704235118374
2025-06-18;104683,42;38603212010;106196,69428571429;105971,88238095237;47,510544813767225;1292,1647308677857
2025-06-19;104722,7;30339326410;105631,36857142857;105823,52619047617;47,62884117358969;794,453399420514
2025-06-20;104690,65;18063282658;105447,28571428571;105773,29904761905;47,53470612151039;847,9067944247764
2025-06-21;103290,11;30632751225;105053,65;105738,97476190474;43,48969363251859;1119,8591432718927
2025-06-22;101532,57;21644463198;104489,31571428571;105588,7395238095;39,004157685573574;1708,2610515369188
2025-06-23;100852,58;51287142390;103817,61428571428;105357,43333333333;37,39704165641881;2099,281847592437
2025-06-24;105511,62;50011797128;103611,95;105339,66571428571;51,99266180951442;1788,6530448550195
2025-06-25;105976,07;31704641076;103796,61428571428;105365,45571428571;53,16492763130442;1974,7568379333286
2025-06-26;107238,53;30468274982;104156,01857142858;105480,96095238095;56,28934560521218;2362,3059484220676
2025-06-27;106984,01;24320699663;104483,64142857141;105734,9261904762;55,485693801152436;2596,2564063057653
2025-06-28;107078,92;25194306261;105024,9;105862,02952380951;55,73945965150315;2698,8735819479007
2025-06-29;107331,59;8960877693;105853,33142857143;105940,60761904762;56,45122348673175;2310,26229291197
2025-06-30;108396,62;14881078675;106931,05142857143;106069,38714285714;59,41393265845569;944,6613406143146
2025-07-01;107132,8;22489515582;107162,64857142857;105920,39809523811;54,661633863827134;707,6683003954912
2025-07-02;105613,4;25033160828;107110,83857142855;105701,38238095237;49,53214430618151;814,2664426246681
2025-07-03;108824,44;36395184773;107337,39714285714;105708,26142857142;58,413886326604704;1043,9510116671672
2025-07-04;109602,2;29892049537;107711,42428571428;105880,7838095238;60,239141653753066;1326,9123101141458
2025-07-05;108040,89;24248906784;107848,84857142856;105975,79952380952;55,01862767640207;1300,029846946428
2025-07-06;108217,47;10042942280;107975,40285714285;106106,01666666668;55,4884613600643;1284,3077924811419
2025-07-07;109215,2;14638669497;108092,34285714285;106280,3361904762;58,148446631998524;1363,8565029459003
2025-07-08;108300,72;25493246475;108259,18857142856;106344,59571428571;54,90952685872971;1296,6921670228257
2025-07-09;108953,19;20488865138;108736,30142857143;106547,9180952381;56,760147070449406;573,9406945424186
2025-07-10;111327,53;37078460440;109093,88571428572;106862,4338095238;62,751303182008655;1139,303806204865
